Actual,Predicted
0.9766351986381709,0.9929308
1.1257605727470268,1.1218069
1.055261993508807,1.0546598
1.0077347853610252,1.0156934
1.0054552090107889,1.0155265
0.9975233573353526,1.02576
2.1927088989259182,2.2063856
1.8996493872029507,1.9566956
1.761012962058963,1.7397872
2.0544083761264624,2.0343862
2.3436618399732074,2.27813
2.239050111911845,2.2144554
1.9053404203295272,1.9244896
1.894863999787981,1.8841043
1.8938756581881628,1.8919477
2.347579764723347,2.2809696
1.926063611678754,1.9410447
7.044088897364352,6.7856264
7.403139219639008,7.3264318
7.149665042842449,7.0765824
7.832163647819217,7.8853216
6.620028327263605,6.6264596
6.860035427141594,6.743646
3.3822042385476165,3.3080142
1.061801978575882,1.0738178
0.9940461677583572,1.0010512
1.0144832222050884,1.0217644
1.0423942143755474,1.0416516
0.8577921149742254,0.8885977
1.007873517493205,1.0220382
1.9774187591712502,1.9967768
2.257134584426133,2.2080386
1.749810203580217,1.7415214
2.046204895709732,2.0372632
1.8603283754249929,1.8860347
2.1167329568285718,2.0976813
2.0714612816466924,2.0768285
1.9528379999435674,1.9449421
2.2109682614143864,2.1597426
2.1868637108415325,2.1778047
1.9946050321803523,1.9903018
7.0167778541583,6.8112016
6.123553356237598,6.240688
7.611987785730123,7.5651717
8.061651477517028,8.135802
7.286533318965823,7.2390966
7.266690567856744,7.156988
3.1622337199595427,3.1637874
1.044463032925742,1.0645056
1.1470819582970417,1.1291593
1.0468572814505226,1.055688
0.9401451299477666,0.9602011
1.0231052739089805,1.0225804
1.0494079220273687,1.055848
1.8524532535852705,1.8867179
2.18216903685345,2.2036073
2.094802393182711,2.0347881
1.8055077830689095,1.8273076
2.064985853141508,2.0355437
2.196970460857581,2.1793294
2.4304005571194325,2.3778014
2.1098004645576833,2.090772
2.024592063622662,2.013021
1.731166206414473,1.7935672
1.893350708002815,1.9146507
7.278520950151995,7.0814323
7.318553623423397,7.4456005
7.895182836682173,7.8661933
7.931410796374986,7.8429594
7.175809823888906,7.1471024
7.3322721376320965,7.2589173
3.115303237436459,3.0679178
1.0705222561174392,1.0854532
0.9583476796393726,0.98034215
1.162101096115999,1.1440467
0.9567788078909412,0.9641848
1.0129848803393302,1.014534
0.9912940447493592,0.98312074
2.1362329004257656,2.0614688
2.0314155190111354,2.054217
1.9732419122386027,1.9859104
1.8686432762093745,1.8532736
1.8158666609325491,1.8506455
2.072676667096078,2.078869
2.3374990335593058,2.3042467
1.8891471118634904,1.8999751
